SUBJECT TRIAL TARGET CONTEXT ROW REP FOUNDRT OKSE
13 90 2 1 17 2 10531 1
13 91 2 1 2 2 1479 1
13 92 1 1 7 2 4640 1
13 93 1 2 20 2 9453 1
13 94 2 2 5 1 11537 2
13 95 1 2 5 2 3611 1
13 96 2 2 1 1 13481 1
13 97 1 2 18 1 13706 1
13 98 1 2 16 1 10306 1
13 99 2 2 20 2 15749 1
13 100 1 1 13 1 14655 1
13 101 1 2 12 2 10202 1
13 102 2 1 5 1 4557 1
13 103 2 1 2 1 1483 1
13 104 1 2 1 2 978 1
13 105 1 2 7 1 4736 1
13 106 1 1 13 2 9450 1
13 107 1 2 10 2 6323 1
13 108 1 2 11 2 5988 1
13 109 1 2 10 1 6772 1
13 110 2 2 7 2 6646 1
13 111 2 1 5 2 3449 1
13 112 1 1 15 1 10218 1
13 113 2 2 4 1 3146 1
13 114 2 2 10 1 5822 1
13 115 1 1 14 1 8358 1
13 116 1 2 14 2 7812 1
13 117 1 1 19 1 10581 1
13 118 1 1 1 1 1208 1
13 119 1 1 9 1 4415 1
13 120 1 2 19 2 10834 1
13 121 2 2 6 2 5101 1
13 122 1 1 11 2 7179 1
13 123 1 1 5 1 3197 1
13 124 2 2 15 2 10495 1
13 125 2 1 6 2 4600 1
13 126 2 1 13 1 7303 1
13 127 1 1 20 1 12800 1
13 128 2 2 3 2 2059 1
13 129 1 2 20 1 14202 1
13 130 1 2 9 1 5830 1
13 131 2 1 11 1 8363 1
13 132 1 2 17 1 13029 1
13 133 1 1 17 1 10627 1
13 134 2 1 20 2 11087 1
13 135 1 2 14 1 7723 1
13 136 1 2 8 1 6726 1
13 137 2 2 11 1 8093 1
13 138 2 1 15 2 10854 1
13 139 2 2 14 1 9137 1
13 140 1 2 2 2 932 1
13 141 1 1 8 2 4235 1
13 142 2 2 17 1 10137 1
13 143 1 1 5 2 4518 1
13 144 2 2 19 2 16207 1
13 145 2 1 16 1 12843 1
13 146 1 1 20 2 12940 1
13 147 2 1 9 2 4916 1
13 148 2 2 16 1 12619 1
13 149 2 2 13 1 9220 1
13 150 1 2 16 2 9674 1
13 151 1 1 10 2 6829 1
13 152 1 2 9 2 6917 1
13 153 2 1 4 2 2348 1
13 154 2 2 12 2 7640 1
13 155 1 1 2 2 1297 1
13 156 1 1 2 1 1274 1
13 157 2 2 15 1 9680 1
13 158 1 2 4 2 2837 1
13 159 2 1 19 1 13072 1
13 160 1 2 5 1 5017 1
13 161 1 2 15 2 9243 1
SUBJECT(1:10); TRIAL(1:162); TARGET(0:1000); CONTEXT(0:1000); ROW(0:1000); REP(0:1000); FOUNDRT(0:32767); OKSE(0:1000)
4 1 1 2 12 1 3557 1
4 2 1 1 19 2 7885 1
4 3 1 1 5 2 3763 1
4 4 1 1 18 1 5254 1
4 5 2 2 19 1 3790 1
4 6 2 1 2 1 1160 1
4 7 1 1 4 2 13387 1
4 8 2 1 4 1 1291 1
4 9 1 2 9 1 2784 1
4 10 2 2 10 1 3466 1
4 11 1 1 17 1 6657 1
4 12 1 1 1 1 1629 1
4 13 1 2 11 2 3081 1
4 14 1 2 5 1 6467 1
4 15 2 1 17 2 3986 1
4 16 1 1 4 1 2755 1
4 17 2 2 17 2 11178 1
4 18 2 1 20 1 6425 1
4 19 1 1 20 2 9442 1
4 20 1 1 10 2 6569 1
4 21 2 1 10 1 3844 1
4 22 2 1 19 2 4256 1
4 23 1 1 13 1 5250 1
4 24 1 2 3 1 3695 1
4 25 1 2 20 1 5088 1
4 26 1 2 17 2 4455 1
4 27 1 2 17 1 3748 1
4 28 2 2 18 2 5008 1
4 29 1 1 14 2 5157 1
4 30 1 2 10 1 1620 1
4 31 2 2 3 2 1398 1
4 32 1 1 10 1 2985 1
4 33 1 2 6 1 1813 1
4 34 2 1 2 2 965 1
4 35 1 2 7 2 1442 1
4 36 1 2 2 2 3974 1
4 37 1 2 4 2 1426 1
4 38 2 2 11 1 1728 1
4 39 2 1 6 2 2236 1
4 40 2 2 15 2 2568 1
4 41 2 2 1 1 1957 1
4 42 1 1 16 2 9799 1
4 43 2 1 8 2 2891 1
4 44 1 2 12 2 2850 1
4 45 1 1 9 2 3232 1
4 46 2 1 18 1 14290 1
4 47 1 2 15 2 3315 1
4 48 2 2 13 1 3645 1
4 49 1 2 19 2 3019 1
4 50 1 2 11 1 3264 1
4 51 1 1 12 2 6150 1
4 52 2 2 9 2 2350 1
4 53 1 1 16 1 6055 1
4 54 2 2 8 2 2380 1
4 55 1 2 6 2 1864 1
4 56 2 1 12 1 3704 1
4 57 1 1 17 2 4830 1
4 58 1 2 8 1 1728 1
4 59 1 1 7 1 2994 1
4 60 2 2 8 1 2656 1
4 61 1 1 20 1 7610 1
4 62 2 2 6 2 1868 1
4 63 2 2 19 2 4266 1
4 64 2 1 20 2 1904 1
4 65 2 2 10 2 2951 1
4 66 2 2 12 2 1954 1
4 67 2 1 14 2 2516 1
4 68 2 1 3 2 4075 1
4 69 2 1 6 1 1763 1
4 70 2 2 18 1 2943 1
4 71 2 2 4 1 4874 1
4 72 2 1 13 1 5293 1
4 73 2 2 14 2 7746 1
4 74 2 1 16 2 4307 1
4 75 2 2 13 2 8355 1
4 76 2 2 16 2 4829 1
4 77 2 1 16 1 2471 1
4 78 2 1 5 1 2946 1
4 79 1 1 13 2 3588 1
4 80 1 1 14 1 7692 1
4 81 2 1 13 2 4251 1
4 82 2 2 5 1 1860 1
4 83 1 1 2 1 1630 1
4 84 2 2 1 2 920 1
4 85 2 1 14 1 11231 1
4 86 1 1 1 2 1442 1
4 87 2 2 9 1 2386 1
4 88 1 1 3 1 1534 1
4 89 1 1 15 1 4680 1
4 90 1 2 7 1 2235 1
4 91 2 1 9 2 3554 1
4 92 1 1 6 2 3186 1
4 93 1 2 18 1 3741 1
4 94 2 2 17 1 4661 1
4 95 2 2 5 2 1952 1
4 96 1 1 9 1 14186 1
4 97 2 1 10 2 3415 1
4 98 2 2 3 1 1435 1
4 99 1 1 8 2 2993 1
4 100 2 2 14 1 4165 1
4 101 2 1 7 2 1718 1
4 102 2 1 5 2 4869 1
4 103 2 2 2 2 1013 1
4 104 2 1 9 1 2622 1
4 105 2 1 15 2 2745 1
4 106 2 1 11 2 5205 1
4 107 2 1 3 1 1103 1
4 108 1 1 2 2 872 1
4 109 1 2 13 1 1863 1
4 110 1 2 10 2 1197 1
4 111 1 1 19 1 6056 1
4 112 1 1 8 1 4170 1
4 113 1 2 16 2 4022 1
4 114 1 2 14 2 5290 1
4 115 2 2 11 2 3638 1
4 116 2 2 7 1 3296 1
4 117 2 1 7 1 2515 1
4 118 2 2 4 2 2006 1
4 119 2 2 2 1 3042 1
4 120 1 1 5 1 2518 1
4 121 1 1 6 1 2091 1
4 122 2 1 17 1 4119 1
4 123 1 2 16 1 3799 1
4 124 1 2 5 2 3409 1
4 125 1 2 19 1 3233 1
4 126 1 1 7 2 1763 1
4 127 1 2 4 1 1202 1
4 128 2 1 1 2 1728 1
4 129 2 2 7 2 2611 1
4 130 2 2 20 1 4121 1
4 131 2 1 1 1 1620 1
4 132 1 2 14 1 3079 1
4 133 1 2 1 2 820 1
4 134 1 1 18 2 5387 1
4 135 1 2 8 2 1539 1
4 136 1 1 15 2 5154 1
4 137 2 1 8 1 5485 1
4 138 2 1 11 1 2919 1
4 139 2 1 15 1 5773 1
4 140 1 2 3 2 1252 1
4 141 2 1 18 2 3977 1
4 142 1 2 20 2 2690 1
4 143 2 1 4 2 3373 1
4 144 1 2 9 2 2289 1
4 145 2 1 12 2 2998 1
4 146 1 2 13 2 2666 1
4 147 2 1 19 1 2244 1
4 148 1 2 1 1 2286 1
4 149 2 2 16 1 2987 1
4 150 2 2 20 2 3324 1
4 151 2 2 6 1 2423 1
4 152 2 2 12 1 2750 1
4 153 1 2 2 1 1206 1
4 154 1 2 18 2 2952 1
4 155 2 2 15 1 3556 1
4 156 1 2 12 1 2891 1
4 157 1 2 15 1 3268 1
4 158 1 1 11 1 6384 1
4 159 1 1 11 2 3044 1
4 160 1 1 12 1 3789 1
4 161 1 1 3 2 5538 1
6 1 1 2 12 1 6617 1
6 2 1 1 8 1 4916 1
6 3 2 1 20 1 10658 1
6 4 1 1 20 1 11512 1
6 5 1 2 3 2 1442 1
